"","V1","V2","V3","cluster"
"726",30,45,25,"3"
"727",29,46,25,"3"
"728",28,47,25,"3"
"729",27,48,25,"3"
"730",26,49,25,"3"
"731",25,50,25,"3"
"732",54,20,26,"2"
"733",53,21,26,"2"
"734",52,22,26,"2"
"735",51,23,26,"2"
"736",50,24,26,"2"
"737",49,25,26,"2"
"738",48,26,26,"2"
"739",47,27,26,"2"
"740",46,28,26,"2"
"741",45,29,26,"2"
"742",44,30,26,"2"
"743",43,31,26,"2"
"744",42,32,26,"3"
"745",41,33,26,"3"
"746",40,34,26,"3"
"747",39,35,26,"3"
"748",38,36,26,"3"
"749",37,37,26,"3"
"750",36,38,26,"3"
"751",35,39,26,"3"
"752",34,40,26,"3"
"753",33,41,26,"3"
"754",32,42,26,"3"
"755",31,43,26,"3"
"756",30,44,26,"3"
"757",29,45,26,"3"
"758",28,46,26,"3"
"759",27,47,26,"3"
"760",26,48,26,"3"
"761",25,49,26,"3"
"762",53,20,27,"2"
"763",52,21,27,"2"
"764",51,22,27,"2"
"765",50,23,27,"2"
"766",49,24,27,"2"
"767",48,25,27,"2"
"768",47,26,27,"2"
"769",46,27,27,"2"
"770",45,28,27,"2"
"771",44,29,27,"2"
"772",43,30,27,"2"
"773",42,31,27,"2"
"774",41,32,27,"3"
"775",40,33,27,"3"
"776",39,34,27,"3"
"777",38,35,27,"3"
"778",37,36,27,"3"
"779",36,37,27,"3"
"780",35,38,27,"3"
"781",34,39,27,"3"
"782",33,40,27,"3"
"783",32,41,27,"3"
"784",31,42,27,"3"
"785",30,43,27,"3"
"786",29,44,27,"3"
"787",28,45,27,"3"
"788",27,46,27,"3"
"789",26,47,27,"3"
"790",25,48,27,"3"
"791",52,20,28,"2"
"792",51,21,28,"2"
"793",50,22,28,"2"
"794",49,23,28,"2"
"795",48,24,28,"2"
"796",47,25,28,"2"
"797",46,26,28,"2"
"798",45,27,28,"2"
"799",44,28,28,"2"
"800",43,29,28,"2"
"801",42,30,28,"2"
"802",41,31,28,"3"
"803",40,32,28,"3"
"804",39,33,28,"3"
"805",38,34,28,"3"
"806",37,35,28,"3"
"807",36,36,28,"3"
"808",35,37,28,"3"
"809",34,38,28,"3"
"810",33,39,28,"3"
"811",32,40,28,"3"
"812",31,41,28,"3"
"813",30,42,28,"3"
"814",29,43,28,"3"
"815",28,44,28,"3"
"816",27,45,28,"3"
"817",26,46,28,"3"
"818",25,47,28,"3"
"819",51,20,29,"2"
"820",50,21,29,"2"
"821",49,22,29,"2"
"822",48,23,29,"2"
